SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
1,28-NOV-15,27-NOV-16,10,1202,2550000,25098.64,5000031488,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-NOV-14,27-NOV-15,10,1202,2550000,36820.28,5000031488,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-NOV-17,27-NOV-18,10,1202,2550000,23784.79,5000031489,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-NOV-16,27-NOV-17,10,1202,2550000,23350.81,5000031489,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-NOV-15,27-NOV-16,10,1202,2550000,25088.64,5000031489,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-NOV-14,27-NOV-15,10,1202,2550000,36820.28,5000031489,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-NOV-17,27-NOV-18,10,1202,650000,5864.41,5000031490,2010,1,80,Truck,11548,FIAT,General Cartage,
1,28-NOV-16,27-NOV-17,10,1202,650000,5742.34,5000031490,2010,1,80,Truck,11548,FIAT,General Cartage,
1,28-NOV-15,27-NOV-16,10,1202,650000,6206.01,5000031490,2010,1,80,Truck,11548,FIAT,General Cartage,
1,28-NOV-14,27-NOV-15,10,1202,650000,9206.14,5000031490,2010,1,80,Truck,11548,FIAT,General Cartage,
1,28-NOV-17,27-NOV-18,10,1202,650000,5853.91,5000031491,2010,0,228.2,Trailers and semitrailers,0,MARU,General Cartage,
1,28-NOV-16,27-NOV-17,10,1202,650000,5742.34,5000031491,2010,0,228.2,Trailers and semitrailers,0,MARU,General Cartage,
1,28-NOV-15,27-NOV-16,10,1202,650000,6195.51,5000031491,2010,0,228.2,Trailers and semitrailers,0,MARU,General Cartage,
1,28-NOV-14,27-NOV-15,10,1202,650000,9211.64,5000031491,2010,0,228.2,Trailers and semitrailers,0,MARU,General Cartage,
0,08-JUL-17,07-JUL-18,97,1201,164516,2598.37,5000031501,1993,5,,Automobile,4164,TOYOTA,Private,
0,08-JUL-16,07-JUL-17,97,1201,164516,2695.11,5000031501,1993,5,,Automobile,4164,TOYOTA,Private,
0,08-JUL-15,07-JUL-16,97,1201,164516,2695.11,5000031501,1993,5,,Automobile,4164,TOYOTA,Private,
0,08-JUL-14,07-JUL-15,97,1201,164516,2695.11,5000031501,1993,5,,Automobile,4164,TOYOTA,Private,
1,13-APR-18,12-OCT-18,17,1202,1000000,11775.14,5000031479,2010,2,0,Truck,8226,ISUZU,General Cartage,
1,12-OCT-17,11-APR-18,17,1202,1000000,14637.28,5000031479,2010,2,0,Truck,8226,ISUZU,General Cartage,
1,16-JUL-17,15-JUL-18,17,1202,0,4514.5,5000031479,2010,2,0,Truck,8226,ISUZU,General Cartage,
1,12-APR-17,11-OCT-17,17,1202,1000000,14717.67,5000031479,2010,2,0,Truck,8226,ISUZU,General Cartage,
1,03-SEP-17,02-SEP-18,17,1202,1000000,33869.45,5000031480,2010,2,0,Truck,8226,ISUZU,General Cartage,
1,12-OCT-14,11-OCT-15,72,1202,2600000,35513.75,5000031502,2010,1,155.90,Truck,12880,IVECO,General Cartage,
0,08-JUL-14,07-JUL-15,97,1201,242209,3721.29,5000031506,1995,12,,Automobile,4164,TOYOTA,Private,
0,08-JUL-17,07-JUL-18,97,1201,473778,5848.2,5000031507,2000,7,,Automobile,2779,TOYOTA,Private,
0,08-JUL-16,07-JUL-17,97,1201,473778,6121.78,5000031507,2000,7,,Automobile,2779,TOYOTA,Private,16100
0,08-JUL-15,07-JUL-16,97,1201,473778,6121.78,5000031507,2000,7,,Automobile,2779,TOYOTA,Private,
0,08-JUL-14,07-JUL-15,97,1201,473778,6121.78,5000031507,2000,7,,Automobile,2779,TOYOTA,Private,46320
0,08-JUL-17,07-JUL-18,97,1201,438578,5623.84,5000031508,1999,10,,Automobile,4169,NISSAN,Private,
0,08-JUL-16,07-JUL-17,97,1201,438578,5881.73,5000031508,1999,10,,Automobile,4169,NISSAN,Private,
0,08-JUL-15,07-JUL-16,97,1201,438578,5881.73,5000031508,1999,10,,Automobile,4169,NISSAN,Private,
0,08-JUL-14,07-JUL-15,97,1201,438578,5881.73,5000031508,1999,10,,Automobile,4169,NISSAN,Private,25486
0,08-JUL-17,07-JUL-18,97,1201,123208,2246.94,5000031510,1997,9,,Automobile,4169,NISSAN,Private,
0,08-JUL-16,07-JUL-17,97,1201,123208,2319.38,5000031510,1997,9,,Automobile,4169,NISSAN,Private,
0,08-JUL-15,07-JUL-16,97,1201,123208,2319.38,5000031510,1997,9,,Automobile,4169,NISSAN,Private,5750
0,08-JUL-14,07-JUL-15,97,1201,123208,2319.38,5000031510,1997,9,,Automobile,4169,NISSAN,Private,
0,08-JUL-17,07-JUL-18,97,1201,242209,3445.77,5000031511,1995,10,,Automobile,2779,TOYOTA,Private,
0,08-JUL-16,07-JUL-17,97,1201,242209,3588.19,5000031511,1995,10,,Automobile,2779,TOYOTA,Private,22472.44
0,08-JUL-15,07-JUL-16,97,1201,242209,3588.19,5000031511,1995,10,,Automobile,2779,TOYOTA,Private,
0,08-JUL-14,07-JUL-15,97,1201,242209,3588.19,5000031511,1995,10,,Automobile,2779,TOYOTA,Private,
0,08-JUL-17,07-JUL-18,97,1201,438578,5623.84,5000031512,1999,10,,Automobile,4169,NISSAN,Private,
0,08-JUL-16,07-JUL-17,97,1201,438578,5881.73,5000031512,1999,10,,Automobile,4169,NISSAN,Private,24000
0,08-JUL-15,07-JUL-16,97,1201,438578,5881.73,5000031512,1999,10,,Automobile,4169,NISSAN,Private,
0,08-JUL-14,07-JUL-15,97,1201,438578,5881.73,5000031512,1999,10,,Automobile,4169,NISSAN,Private,8360
0,08-JUL-17,07-JUL-18,97,1201,438578,5601.84,5000031513,2000,9,,Automobile,4169,NISSAN,Private,103766.66
0,08-JUL-16,07-JUL-17,97,1201,438578,5859.73,5000031513,2000,9,,Automobile,4169,NISSAN,Private,
0,08-JUL-15,07-JUL-16,97,1201,438578,5859.73,5000031513,2000,9,,Automobile,4169,NISSAN,Private,
0,08-JUL-14,07-JUL-15,97,1201,438578,5859.73,5000031513,2000,9,,Automobile,4169,NISSAN,Private,484196.8
0,08-JUL-17,07-JUL-18,97,1201,1100000,4314.4,5000031515,2002,12,,Automobile,4164,TOYOTA,Private,
0,08-JUL-16,07-JUL-17,97,1201,440795.58,5950.62,5000031515,2002,12,,Automobile,4164,TOYOTA,Private,
0,08-JUL-15,07-JUL-16,97,1201,440795.58,5950.62,5000031515,2002,12,,Automobile,4164,TOYOTA,Private,
0,08-JUL-14,07-JUL-15,97,1201,440795.58,5950.62,5000031515,2002,12,,Automobile,4164,TOYOTA,Private,8972
0,08-JUL-17,07-JUL-18,97,1201,442674.87,5645.43,5000031520,2003,9,,Automobile,4164,TOYOTA,Private,
0,08-JUL-16,07-JUL-17,97,1201,442674.87,5905.72,5000031520,2003,9,,Automobile,4164,TOYOTA,Private,13800
0,08-JUL-15,07-JUL-16,97,1201,442674.87,5910.72,5000031520,2003,9,,Automobile,4164,TOYOTA,Private,
0,08-JUL-14,07-JUL-15,97,1201,442674.87,5905.72,5000031520,2003,9,,Automobile,4164,TOYOTA,Private,5750
0,16-OCT-17,15-OCT-18,11,1201,50000,1194.07,5000029809,2008,1,0,Motor-cycle,171,YAMAHA,Private,
0,03-OCT-15,02-OCT-16,11,1201,35000,651.945,5000029809,2008,1,0,Motor-cycle,171,YAMAHA,Private,
0,03-OCT-14,02-OCT-15,11,1201,20399,462.35,5000029809,2008,1,0,Motor-cycle,171,YAMAHA,Private,
0,16-OCT-17,15-OCT-18,11,1201,400000,4903.25,5000029812,2006,4,,Automobile,1300,SUZUKI,Private,
0,16-OCT-16,15-OCT-17,11,1201,350000,4577.15,5000029812,2006,4,,Automobile,1300,SUZUKI,Private,
0,03-OCT-15,02-OCT-16,11,1201,350000,4577.15,5000029812,2006,4,,Automobile,1300,SUZUKI,Private,
0,03-OCT-14,02-OCT-15,11,1201,214174.05,3057.37,5000029812,2006,4,,Automobile,1300,SUZUKI,Private,
0,08-JUL-17,07-JUL-18,08,1202,657894.09,10941.27,5000030847,1998,45,45,Bus,2000,IVECO,Own service,
0,08-JUL-16,07-JUL-17,08,1202,657894.09,11361.78,5000030847,1998,45,45,Bus,2000,IVECO,Own service,
0,08-JUL-15,07-JUL-16,08,1202,657894.09,12377.91,5000030847,1998,45,45,Bus,2000,IVECO,Own service,
0,08-JUL-14,07-JUL-15,08,1202,657894.09,12265.77,5000030847,1998,45,45,Bus,2000,IVECO,Own service,
0,08-JUL-17,07-JUL-18,08,1202,734441.83,10268.05,5000030857,2007,45,45,Bus,8071,IVECO,Own service,
0,08-JUL-16,07-JUL-17,08,1202,734441.83,10574.66,5000030857,2007,45,45,Bus,8071,IVECO,Own service,
0,08-JUL-15,07-JUL-16,08,1202,734441.83,11396.75,5000030857,2007,45,45,Bus,8071,IVECO,Own service,
0,08-JUL-14,07-JUL-15,08,1202,734441.83,11173.62,5000030857,2007,45,45,Bus,8071,IVECO,Own service,
0,18-JUL-17,17-JUL-18,91,1202,0,721.1,5000031135,1983,4,7,Pick-up,1584,ISUZU,Own Goods,
0,18-JUL-16,17-JUL-17,91,1202,30000,1793.01,5000031135,1983,4,7,Pick-up,1584,ISUZU,Own Goods,
0,18-JUL-15,17-JUL-16,91,1202,30000,1878.4,5000031135,1983,4,7,Pick-up,1584,ISUZU,Own Goods,
0,18-JUL-14,17-JUL-15,91,1202,30000,1966.9,5000031135,1983,4,7,Pick-up,1584,ISUZU,Own Goods,
0,18-JUL-17,17-JUL-18,91,1202,120000,1700.54,5000031138,1988,2,10,Pick-up,2494,NISSAN,Own Goods,

